## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
| LOAD_FAST_LOAD_FAST BINARY_SUBSCR_STR_INT | 308,022,180 | 0.3% | 58.6% |
| POP_TOP RETURN_CONST | 307,301,557 | 0.3% | 58.8% |
| LOAD_FAST CALL | 304,467,870 | 0.3% | 59.1% |
| RESUME_CHECK NOP | 298,922,474 | 0.3% | 59.3% |
| POP_JUMP_IF_FALSE LOAD_GLOBAL_MODULE | 293,286,758 | 0.3% | 59.6% |
| ENTER_EXECUTOR YIELD_VALUE | 289,395,690 | 0.3% | 59.9% |
| LOAD_FAST_LOAD_FAST STORE_ATTR_INSTANCE_VALUE | 286,962,526 | 0.3% | 60.1% |
| LOAD_FAST_LOAD_FAST LOAD_CONST | 285,993,747 | 0.2% | 60.4% |
| LOAD_ATTR_INSTANCE_VALUE LOAD_ATTR_METHOD_NO_DICT | 285,027,218 | 0.2% | 60.6% |


</details>

## Predecessor/Successor Pairs

<details>
<summary> Top 5 predecessors and successors of each opcode </summary>

### BINARY_SLICE

<details>
<summary> Successors and predecessors for BINARY_SLICE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_CONST | 103,677,415 | 54.3% |
| LOAD_FAST_LOAD_FAST | 38,997,240 | 20.4% |
| LOAD_FAST | 26,115,044 | 13.7% |
| BINARY_OP_ADD_INT | 15,276,653 | 8.0% |
| LOAD_ATTR_SLOT | 6,122,880 | 3.2% |

|Successors | Count | Percentage | 
|---|---:|---:|
| GET_ITER | 32,651,035 | 17.1% |
| STORE_FAST | 26,576,699 | 13.9% |
| BUILD_TUPLE | 25,337,881 | 13.3% |
| CALL_PY_EXACT_ARGS | 24,426,259 | 12.8% |
| LOAD_DEREF | 18,985,200 | 10.0% |


</details>

### STORE_SLICE

<details>
<summary> Successors and predecessors for STORE_SLICE </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| BINARY_OP_ADD_INT | 17,271,420 | 64.3% |
| LOAD_CONST | 9,331,226 | 34.7% |
| LOAD_FAST_LOAD_FAST | 258,360 | 1.0% |
| LOAD_ATTR_SLOT | 8,040 | 0.0% |
| LOAD_FAST | 120 | 0.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 20,956,106 | 78.0% |
| RETURN_CONST | 5,874,960 | 21.9% |
| ENTER_EXECUTOR | 33,960 | 0.1% |
| LOAD_GLOBAL_BUILTIN | 2,700 | 0.0% |
| LOAD_CONST | 660 | 0.0% |


</details>

### CACHE

<details>
<summary> Successors and predecessors for CACHE </summary>

|Successors | Count | Percentage | 
|---|---:|---:|
| RESUME_CHECK | 1,399,671,896 | 85.4% |
| POP_TOP | 126,149,512 | 7.7% |
| COPY_FREE_VARS | 72,315,435 | 4.4% |
| RETURN_GENERATOR | 40,549,425 | 2.5% |
| MAKE_CELL | 435,460 | 0.0% |


</details>

### BINARY_SUBSCR

<details>
<summary> Successors and predecessors for BINARY_SUBSCR </summary>

|Predecessors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 137,323,542 | 39.4% |
| LOAD_CONST | 107,777,539 | 30.9% |
| RETURN_VALUE | 28,812,000 | 8.3% |
| LOAD_FAST_LOAD_FAST | 27,551,521 | 7.9% |
| COPY | 24,295,880 | 7.0% |

|Successors | Count | Percentage | 
|---|---:|---:|
| LOAD_FAST | 61,210,222 | 17.5% |
| STORE_FAST | 53,443,459 | 15.3% |
